Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
EN4,Studio,10,859,780,850,900
EN4,One Bedroom,40,"1,014",933,"1,000","1,100"
EN4,Two Bedrooms,80,"1,249","1,148","1,250","1,350"
EN4,Three Bedrooms,40,"1,990","1,600","1,700","2,200"
EN4,Four or More Bedrooms,20,"3,318","2,000","2,325","2,875"
EN5,Room,-,..,..,..,..
EN5,Studio,10,802,750,775,850
EN5,One Bedroom,60,"1,051",932,"1,080","1,150"
EN5,Two Bedrooms,90,"1,298","1,200","1,275","1,400"
EN5,Three Bedrooms,40,"1,730","1,500","1,699","1,800"
EN5,Four or More Bedrooms,20,"2,695","2,200","2,496","2,947"
EN6,Room,0,.,.,.,.
EN6,Studio,0,.,.,.,.
EN6,One Bedroom,0,.,.,.,.
EN6,Two Bedrooms,0,.,.,.,.
EN6,Three Bedrooms,0,.,.,.,.
EN6,Four or More Bedrooms,0,.,.,.,.
EN7,Room,0,.,.,.,.
EN7,Studio,0,.,.,.,.
EN7,One Bedroom,0,.,.,.,.
EN7,Two Bedrooms,0,.,.,.,.
EN7,Three Bedrooms,0,.,.,.,.
EN7,Four or More Bedrooms,0,.,.,.,.
EN8,Room,0,.,.,.,.
EN8,Studio,0,.,.,.,.
EN8,One Bedroom,0,.,.,.,.
EN8,Two Bedrooms,0,.,.,.,.
EN8,Three Bedrooms,0,.,.,.,.
EN8,Four or More Bedrooms,0,.,.,.,.
EN9,Room,0,.,.,.,.
EN9,Studio,0,.,.,.,.
EN9,One Bedroom,0,.,.,.,.
EN9,Two Bedrooms,0,.,.,.,.
EN9,Three Bedrooms,0,.,.,.,.
EN9,Four or More Bedrooms,0,.,.,.,.
HA0,Room,20,578,450,550,710
HA0,Studio,30,844,775,850,900
HA0,One Bedroom,60,"1,094","1,049","1,100","1,150"
HA0,Two Bedrooms,70,"1,370","1,300","1,350","1,450"
HA0,Three Bedrooms,40,"1,670","1,550","1,650","1,800"
HA0,Four or More Bedrooms,30,"2,153","1,900","2,050","2,400"
HA1,Room,20,686,533,696,863
HA1,Studio,80,"1,000",850,"1,050","1,150"
HA1,One Bedroom,160,"1,152","1,050","1,150","1,275"
HA1,Two Bedrooms,200,"1,354","1,250","1,325","1,400"
HA1,Three Bedrooms,60,"1,608","1,475","1,600","1,750"
HA1,Four or More Bedrooms,30,"2,253","1,900","2,100","2,500"
HA2,Room,10,576,442,625,700
HA2,Studio,30,795,678,795,925
HA2,One Bedroom,80,"1,052",950,"1,050","1,150"
HA2,Two Bedrooms,120,"1,256","1,200","1,250","1,300"
HA2,Three Bedrooms,110,"1,571","1,475","1,575","1,650"
HA2,Four or More Bedrooms,30,"1,875","1,700","1,750","1,950"
HA3,Room,30,540,433,525,642
HA3,Studio,50,785,725,760,875
HA3,One Bedroom,100,986,900,980,"1,050"
HA3,Two Bedrooms,180,"1,261","1,200","1,250","1,300"
HA3,Three Bedrooms,220,"1,621","1,500","1,600","1,750"
HA3,Four or More Bedrooms,120,"2,050","1,750","1,950","2,300"
HA4,Room,10,583,450,550,692
HA4,Studio,-,..,..,..,..
HA4,One Bedroom,40,"1,028",950,"1,025","1,100"
HA4,Two Bedrooms,80,"1,266","1,200","1,250","1,350"
HA4,Three Bedrooms,20,"1,495","1,350","1,500","1,600"
HA4,Four or More Bedrooms,10,"2,070","1,900","1,973","2,200"
HA5,Room,-,..,..,..,..
HA5,Studio,10,741,663,725,825
HA5,One Bedroom,40,"1,035",950,"1,000","1,100"
HA5,Two Bedrooms,120,"1,295","1,200","1,275","1,375"
HA5,Three Bedrooms,40,"1,663","1,550","1,725","1,800"
HA5,Four or More Bedrooms,50,"2,554","1,925","2,200","2,900"
HA6,Room,0,.,.,.,.
HA6,Studio,20,790,695,850,850
HA6,One Bedroom,80,997,900,"1,025","1,100"
HA6,Two Bedrooms,140,"1,317","1,200","1,300","1,475"
HA6,Three Bedrooms,60,"1,715","1,588","1,700","1,850"
HA6,Four or More Bedrooms,40,"2,476","2,050","2,400","2,750"
HA7,Room,0,.,.,.,.
HA7,Studio,10,793,750,776,850
HA7,One Bedroom,50,"1,191","1,025","1,200","1,270"
HA7,Two Bedrooms,100,"1,418","1,300","1,350","1,500"
HA7,Three Bedrooms,70,"1,691","1,500","1,663","1,825"
HA7,Four or More Bedrooms,30,"2,187","1,950","2,200","2,500"
HA8,Room,10,447,400,439,482
HA8,Studio,10,806,700,815,900
HA8,One Bedroom,60,"1,064",950,"1,063","1,150"
HA8,Two Bedrooms,120,"1,333","1,250","1,350","1,425"
HA8,Three Bedrooms,100,"1,645","1,500","1,650","1,750"
HA8,Four or More Bedrooms,60,"2,175","1,888","2,100","2,375"
HA9,Room,10,524,450,520,550
HA9,Studio,30,912,842,900,"1,000"
HA9,One Bedroom,100,"1,164","1,050","1,190","1,275"
HA9,Two Bedrooms,150,"1,413","1,325","1,400","1,500"
HA9,Three Bedrooms,60,"1,675","1,500","1,650","1,800"
HA9,Four or More Bedrooms,40,"2,122","1,850","1,995","2,300"
IG1,Room,10,504,429,535,542
IG1,Studio,10,810,724,800,850
IG1,One Bedroom,70,931,860,900,"1,000"
IG1,Two Bedrooms,80,"1,226","1,150","1,200","1,300"
IG1,Three Bedrooms,40,"1,504","1,400","1,538","1,600"
IG1,Four or More Bedrooms,20,"2,115","1,800","1,850","2,250"
IG11,Room,10,672,642,657,792
IG11,Studio,10,750,730,750,781
IG11,One Bedroom,140,"1,017",950,"1,000","1,100"
IG11,Two Bedrooms,150,"1,227","1,150","1,200","1,300"
IG11,Three Bedrooms,90,"1,505","1,400","1,538","1,600"
IG11,Four or More Bedrooms,20,"1,677","1,400","1,800","1,900"
IG2,Room,10,486,432,496,525
IG2,Studio,10,770,681,750,795
IG2,One Bedroom,40,"1,032",950,"1,050","1,148"
IG2,Two Bedrooms,60,"1,260","1,200","1,275","1,350"
IG2,Three Bedrooms,30,"1,589","1,500","1,600","1,700"
IG2,Four or More Bedrooms,10,"1,856","1,600","1,850","2,040"
IG3,Room,10,598,592,592,642
IG3,Studio,10,727,650,771,781
IG3,One Bedroom,40,919,850,900,"1,000"
IG3,Two Bedrooms,40,"1,191","1,100","1,200","1,250"
IG3,Three Bedrooms,30,"1,537","1,413","1,550","1,651"
IG3,Four or More Bedrooms,20,"1,836","1,638","1,750","1,975"
IG4,Room,-,..,..,..,..
IG4,Studio,-,..,..,..,..
IG4,One Bedroom,10,"1,013",975,"1,012","1,076"
IG4,Two Bedrooms,10,"1,224","1,150","1,185","1,250"
IG4,Three Bedrooms,-,..,..,..,..
IG4,Four or More Bedrooms,10,"1,969","1,895","2,000","2,000"
IG5,Room,10,594,564,637,637
IG5,Studio,-,..,..,..,..
IG5,One Bedroom,0,.,.,.,.
IG5,Two Bedrooms,10,"1,119","1,088","1,125","1,163"
IG5,Three Bedrooms,10,"1,514","1,400","1,550","1,600"
IG5,Four or More Bedrooms,10,"1,936","1,750","1,818","2,200"
IG6,Room,-,..,..,..,..
IG6,Studio,-,..,..,..,..
IG6,One Bedroom,30,980,890,925,"1,070"
IG6,Two Bedrooms,40,"1,188","1,100","1,200","1,250"
IG6,Three Bedrooms,60,"1,514","1,425","1,550","1,600"
IG6,Four or More Bedrooms,10,"1,915","1,650","1,800","2,000"
IG7,Room,0,.,.,.,.
IG7,Studio,0,.,.,.,.
IG7,One Bedroom,10,957,850,975,"1,050"
IG7,Two Bedrooms,10,"1,207","1,100","1,250","1,350"
IG7,Three Bedrooms,10,"1,442","1,330","1,500","1,588"
IG7,Four or More Bedrooms,-,..,..,..,..
IG8,Room,10,392,392,404,442
IG8,Studio,-,..,..,..,..
IG8,One Bedroom,20,"1,007",875,"1,000","1,100"
IG8,Two Bedrooms,70,"1,341","1,175","1,250","1,425"
IG8,Three Bedrooms,50,"1,616","1,500","1,650","1,695"
IG8,Four or More Bedrooms,20,"2,299","1,900","2,100","2,900"
IG9,Room,0,.,.,.,.
IG9,Studio,0,.,.,.,.
IG9,One Bedroom,10,"1,009",975,995,"1,000"
IG9,Two Bedrooms,-,..,..,..,..
IG9,Three Bedrooms,0,.,.,.,.
IG9,Four or More Bedrooms,-,..,..,..,..
KT1,Room,60,497,442,492,492
KT1,Studio,10,916,895,925,995
KT1,One Bedroom,70,"1,133","1,050","1,150","1,200"
KT1,Two Bedrooms,130,"1,401","1,250","1,350","1,500"
KT1,Three Bedrooms,40,"1,587","1,500","1,600","1,695"
KT1,Four or More Bedrooms,30,"2,260","2,000","2,200","2,500"
KT17,Room,0,.,.,.,.
KT17,Studio,0,.,.,.,.
KT17,One Bedroom,0,.,.,.,.
KT17,Two Bedrooms,0,.,.,.,.
KT17,Three Bedrooms,0,.,.,.,.
KT17,Four or More Bedrooms,0,.,.,.,.
KT18,Room,0,.,.,.,.
KT18,Studio,0,.,.,.,.
KT18,One Bedroom,0,.,.,.,.
KT18,Two Bedrooms,0,.,.,.,.
KT18,Three Bedrooms,0,.,.,.,.
KT18,Four or More Bedrooms,0,.,.,.,.
KT19,Room,0,.,.,.,.
KT19,Studio,0,.,.,.,.
KT19,One Bedroom,0,.,.,.,.
KT19,Two Bedrooms,0,.,.,.,.
KT19,Three Bedrooms,0,.,.,.,.
KT19,Four or More Bedrooms,0,.,.,.,.
KT2,Room,20,556,550,550,575
KT2,Studio,10,867,800,875,895
KT2,One Bedroom,80,"1,137","1,050","1,100","1,200"
KT2,Two Bedrooms,160,"1,432","1,250","1,350","1,525"
KT2,Three Bedrooms,40,"1,848","1,595","1,775","2,000"
KT2,Four or More Bedrooms,30,"2,899","2,275","2,500","2,900"
KT22,Room,0,.,.,.,.
KT22,Studio,0,.,.,.,.
KT22,One Bedroom,0,.,.,.,.
KT22,Two Bedrooms,0,.,.,.,.
KT22,Three Bedrooms,0,.,.,.,.
KT22,Four or More Bedrooms,0,.,.,.,.
KT3,Room,-,..,..,..,..
KT3,Studio,-,..,..,..,..
KT3,One Bedroom,20,"1,077",958,"1,075","1,150"
KT3,Two Bedrooms,40,"1,279","1,149","1,250","1,388"
KT3,Three Bedrooms,30,"1,687","1,500","1,650","1,825"
KT3,Four or More Bedrooms,10,"2,383","1,900","2,200","2,500"
KT4,Room,-,..,..,..,..
KT4,Studio,0,.,.,.,.
KT4,One Bedroom,20,"1,045",895,"1,000","1,250"
KT4,Two Bedrooms,30,"1,364","1,250","1,350","1,475"
KT4,Three Bedrooms,20,"1,637","1,400","1,625","1,750"
KT4,Four or More Bedrooms,10,"2,206","1,950","2,100","2,525"
KT5,Room,10,499,508,508,508
KT5,Studio,10,834,750,800,950
KT5,One Bedroom,10,"1,015",925,"1,025","1,100"
KT5,Two Bedrooms,20,"1,289","1,245","1,275","1,375"
KT5,Three Bedrooms,10,"1,714","1,500","1,795","1,850"
KT5,Four or More Bedrooms,10,"2,593","2,000","2,500","2,750"
KT6,Room,-,..,..,..,..
KT6,Studio,10,777,700,800,825
KT6,One Bedroom,40,"1,052",975,"1,000","1,195"
KT6,Two Bedrooms,60,"1,313","1,225","1,300","1,396"
KT6,Three Bedrooms,20,"1,473","1,350","1,475","1,608"
KT6,Four or More Bedrooms,10,"2,793","1,950","2,500","2,600"
KT7,Room,0,.,.,.,.
KT7,Studio,0,.,.,.,.
KT7,One Bedroom,0,.,.,.,.
KT7,Two Bedrooms,0,.,.,.,.
KT7,Three Bedrooms,0,.,.,.,.
KT7,Four or More Bedrooms,0,.,.,.,.
KT8,Room,0,.,.,.,.
KT8,Studio,-,..,..,..,..
KT8,One Bedroom,-,..,..,..,..
KT8,Two Bedrooms,-,..,..,..,..
KT8,Three Bedrooms,0,.,.,.,.
KT8,Four or More Bedrooms,0,.,.,.,.
KT9,Room,0,.,.,.,.
KT9,Studio,0,.,.,.,.
KT9,One Bedroom,-,..,..,..,..
KT9,Two Bedrooms,10,"1,137","1,000","1,250","1,270"
KT9,Three Bedrooms,10,"1,555","1,450","1,550","1,600"
KT9,Four or More Bedrooms,-,..,..,..,..
N1,Room,10,858,790,800,900
N1,Studio,30,"1,274",997,"1,278","1,430"
N1,One Bedroom,260,"1,687","1,517","1,647","1,842"
N1,Two Bedrooms,290,"2,133","1,798","2,058","2,383"
N1,Three Bedrooms,90,"2,688","2,300","2,600","3,012"
N1,Four or More Bedrooms,20,"3,310","2,817","3,033","4,008"
N10,Room,-,..,..,..,..
N10,Studio,20,827,800,869,910
N10,One Bedroom,80,"1,298","1,200","1,300","1,387"
N10,Two Bedrooms,130,"1,601","1,360","1,500","1,668"
N10,Three Bedrooms,60,"1,920","1,656","1,800","2,043"
N10,Four or More Bedrooms,40,"2,149","1,575","1,833","2,318"
N11,Room,10,493,450,500,545
N11,Studio,10,806,750,800,851
N11,One Bedroom,80,"1,183","1,100","1,200","1,250"
N11,Two Bedrooms,140,"1,420","1,300","1,400","1,500"
N11,Three Bedrooms,30,"1,732","1,575","1,750","1,850"
N11,Four or More Bedrooms,10,"2,416","2,150","2,300","2,513"
N12,Room,-,..,..,..,..
N12,Studio,20,872,800,826,949
N12,One Bedroom,60,"1,157","1,100","1,150","1,200"
N12,Two Bedrooms,80,"1,393","1,275","1,378","1,487"
N12,Three Bedrooms,30,"1,778","1,700","1,800","1,850"
N12,Four or More Bedrooms,10,"2,348","2,000","2,230","2,400"
N13,Room,20,510,417,492,592
N13,Studio,30,824,720,850,897
N13,One Bedroom,40,"1,045",950,"1,038","1,100"
N13,Two Bedrooms,60,"1,356","1,250","1,362","1,450"
N13,Three Bedrooms,20,"1,621","1,500","1,650","1,750"
N13,Four or More Bedrooms,10,"2,138","2,000","2,000","2,300"
N14,Room,10,618,555,600,700
N14,Studio,10,871,823,850,900
N14,One Bedroom,30,"1,111","1,000","1,050","1,150"
N14,Two Bedrooms,70,"1,353","1,250","1,350","1,400"
N14,Three Bedrooms,20,"1,735","1,650","1,725","1,900"
N14,Four or More Bedrooms,20,"2,261","2,100","2,225","2,450"
N15,Room,10,541,467,539,617
N15,Studio,20,943,826,"1,045","1,050"
N15,One Bedroom,20,"1,169","1,100","1,195","1,250"
N15,Two Bedrooms,30,"1,376","1,300","1,400","1,452"
N15,Three Bedrooms,10,"1,659","1,450","1,681","1,750"
N15,Four or More Bedrooms,10,"2,205","2,000","2,200","2,300"
N16,Room,10,689,635,685,791
N16,Studio,20,931,846,963,"1,030"
N16,One Bedroom,120,"1,334","1,225","1,300","1,452"
N16,Two Bedrooms,110,"1,631","1,500","1,625","1,750"
N16,Three Bedrooms,40,"2,317","2,010","2,221","2,600"
N16,Four or More Bedrooms,20,"2,960","2,600","3,039","3,200"
N17,Room,10,534,467,522,600
N17,Studio,10,692,570,701,740
N17,One Bedroom,10,"1,080","1,000","1,100","1,200"
N17,Two Bedrooms,20,"1,402","1,300","1,400","1,495"
N17,Three Bedrooms,10,"1,772","1,642","1,750","1,900"
N17,Four or More Bedrooms,10,"1,929","1,700","1,925","2,149"
N18,Room,-,..,..,..,..
N18,Studio,10,736,676,676,800
N18,One Bedroom,10,"1,072","1,050","1,050","1,105"
N18,Two Bedrooms,20,"1,290","1,100","1,350","1,447"
N18,Three Bedrooms,10,"1,342","1,040","1,395","1,550"
N18,Four or More Bedrooms,-,..,..,..,..
N19,Room,10,686,618,675,789
N19,Studio,30,"1,035",850,910,"1,118"
N19,One Bedroom,120,"1,405","1,250","1,343","1,450"
N19,Two Bedrooms,110,"1,665","1,517","1,625","1,733"
N19,Three Bedrooms,70,"2,229","2,002","2,167","2,383"
N19,Four or More Bedrooms,40,"2,902","2,400","2,860","3,033"
N1C,Room,0,.,.,.,.
N1C,Studio,-,..,..,..,..
N1C,One Bedroom,-,..,..,..,..
N1C,Two Bedrooms,-,..,..,..,..
N1C,Three Bedrooms,0,.,.,.,.
N1C,Four or More Bedrooms,0,.,.,.,.
N1P,Room,0,.,.,.,.
N1P,Studio,0,.,.,.,.
N1P,One Bedroom,0,.,.,.,.
N1P,Two Bedrooms,0,.,.,.,.
N1P,Three Bedrooms,0,.,.,.,.
N1P,Four or More Bedrooms,0,.,.,.,.
N2,Room,0,.,.,.,.
N2,Studio,10,"1,002",910,"1,000","1,100"
N2,One Bedroom,50,"1,222","1,150","1,250","1,300"
N2,Two Bedrooms,110,"1,533","1,325","1,430","1,550"
N2,Three Bedrooms,50,"1,824","1,600","1,733","1,850"
N2,Four or More Bedrooms,30,"3,783","2,300","3,150","3,683"
N20,Room,-,..,..,..,..
N20,Studio,-,..,..,..,..
N20,One Bedroom,30,"1,182","1,050","1,112","1,350"
N20,Two Bedrooms,60,"1,453","1,200","1,350","1,450"
N20,Three Bedrooms,30,"1,892","1,599","1,750","2,100"
N20,Four or More Bedrooms,30,"2,250","1,900","2,050","2,500"
N21,Room,-,..,..,..,..
N21,Studio,-,..,..,..,..
N21,One Bedroom,10,"1,098",950,"1,150","1,200"
N21,Two Bedrooms,20,"1,341","1,250","1,325","1,387"
N21,Three Bedrooms,10,"1,690","1,650","1,650","1,700"
N21,Four or More Bedrooms,10,"1,993","1,650","2,000","2,249"
N22,Room,10,577,392,542,600
N22,Studio,20,866,800,850,895
N22,One Bedroom,40,"1,178","1,100","1,196","1,250"
N22,Two Bedrooms,60,"1,415","1,300","1,400","1,475"
N22,Three Bedrooms,40,"1,762","1,600","1,688","1,950"
N22,Four or More Bedrooms,20,"2,174","2,000","2,125","2,300"
N3,Room,-,..,..,..,..
N3,Studio,10,854,688,914,991
N3,One Bedroom,30,"1,162","1,050","1,150","1,250"
N3,Two Bedrooms,100,"1,388","1,300","1,395","1,499"
N3,Three Bedrooms,20,"1,968","1,751","1,823","2,100"
N3,Four or More Bedrooms,10,"2,690","2,250","2,500","3,250"
N4,Room,20,655,592,692,737
N4,Studio,40,"1,018",901,"1,000","1,083"
N4,One Bedroom,150,"1,324","1,229","1,300","1,408"
N4,Two Bedrooms,160,"1,638","1,495","1,620","1,798"
N4,Three Bedrooms,60,"2,176","1,950","2,167","2,367"
N4,Four or More Bedrooms,20,"2,796","2,297","2,600","3,350"
N5,Room,-,..,..,..,..
N5,Studio,10,"1,016",800,"1,018","1,050"
N5,One Bedroom,70,"1,573","1,408","1,538","1,706"
N5,Two Bedrooms,60,"2,034","1,846","1,993","2,167"
N5,Three Bedrooms,10,"2,246","1,863","2,167","2,600"
N5,Four or More Bedrooms,10,"3,612","3,250","3,792","3,868"
N6,Room,-,..,..,..,..
N6,Studio,30,992,826,997,"1,179"
N6,One Bedroom,30,"1,345","1,300","1,400","1,430"
N6,Two Bedrooms,70,"1,863","1,603","1,712","1,950"
N6,Three Bedrooms,20,"2,195","1,950","2,100","2,300"
N6,Four or More Bedrooms,10,"4,483","2,708","2,969","6,500"
N7,Room,10,692,646,696,716
N7,Studio,30,995,867,975,"1,105"
N7,One Bedroom,220,"1,374","1,259","1,387","1,473"
N7,Two Bedrooms,220,"1,742","1,560","1,694","1,896"
N7,Three Bedrooms,100,"2,174","1,926","2,145","2,373"
N7,Four or More Bedrooms,50,"3,217","2,808","3,023","3,391"
N8,Room,10,611,550,613,675
N8,Studio,40,909,800,920,"1,001"
N8,One Bedroom,140,"1,263","1,200","1,300","1,350"
N8,Two Bedrooms,200,"1,603","1,452","1,560","1,750"
N8,Three Bedrooms,50,"1,994","1,780","2,000","2,167"
N8,Four or More Bedrooms,20,"2,725","2,550","2,730","3,000"
N81,Room,0,.,.,.,.
N81,Studio,0,.,.,.,.
N81,One Bedroom,0,.,.,.,.
N81,Two Bedrooms,0,.,.,.,.
N81,Three Bedrooms,0,.,.,.,.
N81,Four or More Bedrooms,0,.,.,.,.
N9,Room,10,454,400,487,495
N9,Studio,10,766,725,770,800
N9,One Bedroom,10,994,950,975,"1,049"
N9,Two Bedrooms,-,..,..,..,..
N9,Three Bedrooms,10,"1,592","1,500","1,600","1,650"
N9,Four or More Bedrooms,10,"1,929","1,800","1,846","2,000"
NW1,Room,20,874,715,880,"1,083"
NW1,Studio,120,"1,290","1,100","1,257","1,452"
NW1,One Bedroom,370,"1,704","1,495","1,625","1,842"
NW1,Two Bedrooms,390,"2,279","1,885","2,145","2,557"
NW1,Three Bedrooms,220,"3,067","2,503","2,860","3,272"
NW1,Four or More Bedrooms,130,"4,891","3,142","3,458","4,117"
NW10,Room,20,631,567,650,700
NW10,Studio,40,896,801,875,953
NW10,One Bedroom,120,"1,273","1,192","1,275","1,352"
NW10,Two Bedrooms,250,"1,555","1,430","1,548","1,668"
NW10,Three Bedrooms,110,"1,997","1,733","1,963","2,210"
NW10,Four or More Bedrooms,90,"2,578","2,123","2,496","2,817"
NW11,Room,10,662,550,650,742
NW11,Studio,30,"1,016",921,"1,023","1,127"
NW11,One Bedroom,60,"1,285","1,196","1,250","1,404"
NW11,Two Bedrooms,110,"1,827","1,517","1,695","1,972"
NW11,Three Bedrooms,60,"2,181","1,852","2,100","2,450"
NW11,Four or More Bedrooms,40,"4,349","2,470","3,781","5,633"
NW1W,Room,0,.,.,.,.
NW1W,Studio,0,.,.,.,.
NW1W,One Bedroom,0,.,.,.,.
NW1W,Two Bedrooms,0,.,.,.,.
NW1W,Three Bedrooms,0,.,.,.,.
NW1W,Four or More Bedrooms,0,.,.,.,.
NW2,Room,30,739,592,700,717
NW2,Studio,50,892,800,867,"1,001"
NW2,One Bedroom,110,"1,303","1,192","1,300","1,408"
NW2,Two Bedrooms,160,"1,600","1,495","1,560","1,733"
NW2,Three Bedrooms,90,"1,967","1,750","1,920","2,100"
NW2,Four or More Bedrooms,70,"2,543","2,000","2,297","2,817"
NW26,Room,0,.,.,.,.
NW26,Studio,0,.,.,.,.
NW26,One Bedroom,0,.,.,.,.
NW26,Two Bedrooms,0,.,.,.,.
NW26,Three Bedrooms,0,.,.,.,.
NW26,Four or More Bedrooms,0,.,.,.,.
NW3,Room,20,854,774,831,969
NW3,Studio,120,"1,219","1,100","1,192","1,343"
NW3,One Bedroom,290,"1,640","1,495","1,625","1,746"
NW3,Two Bedrooms,460,"2,273","1,850","2,102","2,427"
NW3,Three Bedrooms,170,"3,753","2,600","3,228","4,008"
NW3,Four or More Bedrooms,100,"8,135","4,220","6,500","10,000"
NW4,Room,10,559,512,542,568
NW4,Studio,30,813,738,823,888
NW4,One Bedroom,30,"1,122","1,062","1,101","1,192"
NW4,Two Bedrooms,60,"1,394","1,296","1,387","1,500"
NW4,Three Bedrooms,30,"2,008","1,733","1,810","2,297"
NW4,Four or More Bedrooms,20,"2,704","2,250","2,427","3,033"
NW5,Room,10,904,845,845,925
NW5,Studio,10,"1,126","1,018","1,159","1,200"
NW5,One Bedroom,180,"1,494","1,404","1,499","1,603"
NW5,Two Bedrooms,180,"1,945","1,695","1,842","2,102"
NW5,Three Bedrooms,90,"2,429","2,075","2,275","2,708"
NW5,Four or More Bedrooms,40,"3,841","2,925","3,467","4,117"
NW6,Room,10,647,524,650,833
NW6,Studio,30,"1,092",963,"1,133","1,213"
NW6,One Bedroom,110,"1,488","1,387","1,473","1,603"
NW6,Two Bedrooms,210,"1,873","1,625","1,842","2,010"
NW6,Three Bedrooms,80,"2,534","2,210","2,470","2,817"
NW6,Four or More Bedrooms,30,"3,936","2,373","3,423","4,658"
NW7,Room,0,.,.,.,.
NW7,Studio,10,820,780,807,850
NW7,One Bedroom,30,"1,119","1,050","1,100","1,200"
NW7,Two Bedrooms,80,"1,418","1,300","1,350","1,450"
NW7,Three Bedrooms,30,"1,925","1,650","1,821","2,167"
NW7,Four or More Bedrooms,30,"2,537","2,197","2,400","2,800"
NW8,Room,10,934,700,800,"1,343"
NW8,Studio,30,"1,312","1,212","1,300","1,395"
NW8,One Bedroom,180,"1,778","1,568","1,733","1,950"
NW8,Two Bedrooms,160,"2,390","2,002","2,262","2,643"
NW8,Three Bedrooms,100,"3,860","2,795","3,445","4,767"
NW8,Four or More Bedrooms,60,"7,781","5,958","7,367","9,533"
NW9,Room,10,498,442,500,550
NW9,Studio,50,932,800,950,"1,001"
NW9,One Bedroom,80,"1,163","1,062","1,200","1,250"
NW9,Two Bedrooms,110,"1,354","1,200","1,350","1,495"
NW9,Three Bedrooms,70,"1,674","1,600","1,700","1,795"
NW9,Four or More Bedrooms,30,"2,162","1,950","2,079","2,300"
RM1,Room,-,..,..,..,..
RM1,Studio,10,690,625,700,725
RM1,One Bedroom,60,895,800,900,975
RM1,Two Bedrooms,100,"1,083","1,000","1,100","1,150"
RM1,Three Bedrooms,20,"1,372","1,300","1,400","1,400"
RM1,Four or More Bedrooms,10,"1,776","1,500","1,700","1,775"
RM10,Room,10,508,442,542,542
RM10,Studio,0,.,.,.,.
