Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
RM10,One Bedroom,20,831,795,800,850
RM10,Two Bedrooms,50,"1,114","1,050","1,100","1,200"
RM10,Three Bedrooms,50,"1,327","1,250","1,350","1,400"
RM10,Four or More Bedrooms,10,"1,583","1,500","1,525","1,650"
RM11,Room,0,.,.,.,.
RM11,Studio,-,..,..,..,..
RM11,One Bedroom,10,890,850,875,920
RM11,Two Bedrooms,30,"1,076",975,"1,050","1,180"
RM11,Three Bedrooms,20,"1,320","1,295","1,350","1,450"
RM11,Four or More Bedrooms,-,..,..,..,..
RM12,Room,-,..,..,..,..
RM12,Studio,-,..,..,..,..
RM12,One Bedroom,30,853,800,800,900
RM12,Two Bedrooms,30,"1,113","1,050","1,095","1,175"
RM12,Three Bedrooms,50,"1,353","1,275","1,350","1,475"
RM12,Four or More Bedrooms,10,"1,659","1,538","1,725","1,750"
RM13,Room,-,..,..,..,..
RM13,Studio,-,..,..,..,..
RM13,One Bedroom,10,788,750,798,825
RM13,Two Bedrooms,40,"1,014",950,"1,000","1,100"
RM13,Three Bedrooms,50,"1,301","1,200","1,300","1,350"
RM13,Four or More Bedrooms,10,"1,592","1,600","1,600","1,700"
RM14,Room,-,..,..,..,..
RM14,Studio,0,.,.,.,.
RM14,One Bedroom,-,..,..,..,..
RM14,Two Bedrooms,40,"1,189","1,050","1,200","1,300"
RM14,Three Bedrooms,20,"1,525","1,373","1,550","1,700"
RM14,Four or More Bedrooms,-,..,..,..,..
RM15,Room,0,.,.,.,.
RM15,Studio,0,.,.,.,.
RM15,One Bedroom,0,.,.,.,.
RM15,Two Bedrooms,0,.,.,.,.
RM15,Three Bedrooms,0,.,.,.,.
RM15,Four or More Bedrooms,0,.,.,.,.
RM2,Room,-,..,..,..,..
RM2,Studio,-,..,..,..,..
RM2,One Bedroom,10,872,825,850,900
RM2,Two Bedrooms,20,"1,146","1,050","1,175","1,215"
RM2,Three Bedrooms,10,"1,461","1,300","1,400","1,650"
RM2,Four or More Bedrooms,-,..,..,..,..
RM3,Room,-,..,..,..,..
RM3,Studio,-,..,..,..,..
RM3,One Bedroom,30,864,775,850,900
RM3,Two Bedrooms,40,"1,116","1,000","1,100","1,240"
RM3,Three Bedrooms,40,"1,339","1,250","1,300","1,450"
RM3,Four or More Bedrooms,20,"1,702","1,395","1,500","2,000"
RM4,Room,0,.,.,.,.
RM4,Studio,-,..,..,..,..
RM4,One Bedroom,0,.,.,.,.
RM4,Two Bedrooms,0,.,.,.,.
RM4,Three Bedrooms,0,.,.,.,.
RM4,Four or More Bedrooms,0,.,.,.,.
RM5,Room,0,.,.,.,.
RM5,Studio,0,.,.,.,.
RM5,One Bedroom,10,844,800,850,850
RM5,Two Bedrooms,20,"1,072",965,"1,100","1,175"
RM5,Three Bedrooms,30,"1,358","1,300","1,350","1,400"
RM5,Four or More Bedrooms,-,..,..,..,..
RM50,Room,0,.,.,.,.
RM50,Studio,0,.,.,.,.
RM50,One Bedroom,0,.,.,.,.
RM50,Two Bedrooms,0,.,.,.,.
RM50,Three Bedrooms,0,.,.,.,.
RM50,Four or More Bedrooms,0,.,.,.,.
RM6,Room,-,..,..,..,..
RM6,Studio,10,797,750,825,825
RM6,One Bedroom,30,865,812,875,935
RM6,Two Bedrooms,70,"1,117","1,050","1,100","1,200"
RM6,Three Bedrooms,50,"1,436","1,373","1,450","1,500"
RM6,Four or More Bedrooms,10,"1,643","1,500","1,650","1,750"
RM7,Room,-,..,..,..,..
RM7,Studio,-,..,..,..,..
RM7,One Bedroom,50,905,850,900,975
RM7,Two Bedrooms,50,"1,158","1,100","1,150","1,250"
RM7,Three Bedrooms,40,"1,351","1,300","1,350","1,425"
RM7,Four or More Bedrooms,10,"1,731","1,498","1,650","1,825"
RM8,Room,10,380,342,367,400
RM8,Studio,10,688,600,700,731
RM8,One Bedroom,30,884,827,900,952
RM8,Two Bedrooms,60,"1,162","1,100","1,200","1,250"
RM8,Three Bedrooms,40,"1,352","1,250","1,350","1,450"
RM8,Four or More Bedrooms,10,"1,546","1,450","1,625","1,700"
RM9,Room,-,..,..,..,..
RM9,Studio,-,..,..,..,..
RM9,One Bedroom,20,855,825,850,900
RM9,Two Bedrooms,60,"1,162","1,100","1,150","1,200"
RM9,Three Bedrooms,40,"1,398","1,350","1,400","1,450"
RM9,Four or More Bedrooms,-,..,..,..,..
SE1,Room,-,..,..,..,..
SE1,Studio,50,"1,277","1,148","1,222","1,365"
SE1,One Bedroom,360,"1,631","1,300","1,575","1,842"
SE1,Two Bedrooms,410,"2,012","1,560","1,863","2,350"
SE1,Three Bedrooms,100,"2,303","1,850","2,125","2,730"
SE1,Four or More Bedrooms,10,"4,005","2,758","3,001","3,358"
SE10,Room,10,807,777,817,882
SE10,Studio,10,967,800,825,"1,300"
SE10,One Bedroom,100,"1,388","1,300","1,378","1,452"
SE10,Two Bedrooms,160,"1,688","1,500","1,675","1,800"
SE10,Three Bedrooms,50,"2,229","2,000","2,200","2,375"
SE10,Four or More Bedrooms,10,"2,771","2,350","2,550","3,300"
SE11,Room,-,..,..,..,..
SE11,Studio,-,..,..,..,..
SE11,One Bedroom,30,"1,438","1,350","1,408","1,517"
SE11,Two Bedrooms,20,"1,939","1,690","1,850","1,993"
SE11,Three Bedrooms,10,"2,124","1,950","2,167","2,200"
SE11,Four or More Bedrooms,-,..,..,..,..
SE12,Room,-,..,..,..,..
SE12,Studio,0,.,.,.,.
SE12,One Bedroom,40,982,900,975,"1,025"
SE12,Two Bedrooms,90,"1,204","1,100","1,200","1,300"
SE12,Three Bedrooms,30,"1,556","1,450","1,550","1,699"
SE12,Four or More Bedrooms,10,"1,710","1,500","1,700","1,750"
SE13,Room,10,596,550,600,675
SE13,Studio,30,942,850,897,"1,148"
SE13,One Bedroom,130,"1,144","1,050","1,150","1,275"
SE13,Two Bedrooms,150,"1,379","1,250","1,375","1,500"
SE13,Three Bedrooms,40,"1,676","1,575","1,650","1,800"
SE13,Four or More Bedrooms,10,"2,272","1,850","2,362","2,500"
SE14,Room,10,547,400,541,592
SE14,Studio,20,883,850,895,950
SE14,One Bedroom,50,"1,075",975,"1,050","1,150"
SE14,Two Bedrooms,50,"1,363","1,250","1,350","1,450"
SE14,Three Bedrooms,10,"1,854","1,700","1,800","1,950"
SE14,Four or More Bedrooms,30,"2,816","2,495","2,563","3,300"
SE15,Room,20,557,550,567,592
SE15,Studio,10,863,825,875,895
SE15,One Bedroom,110,"1,232","1,150","1,250","1,325"
SE15,Two Bedrooms,120,"1,513","1,400","1,500","1,600"
SE15,Three Bedrooms,40,"2,053","1,820","2,000","2,300"
SE15,Four or More Bedrooms,30,"2,649","2,400","2,600","2,800"
SE16,Room,10,808,780,791,817
SE16,Studio,10,"1,047",975,988,"1,138"
SE16,One Bedroom,150,"1,380","1,250","1,322","1,560"
SE16,Two Bedrooms,240,"1,719","1,500","1,650","1,885"
SE16,Three Bedrooms,40,"2,200","1,950","2,173","2,400"
SE16,Four or More Bedrooms,20,"2,843","2,488","2,679","3,031"
SE17,Room,-,..,..,..,..
SE17,Studio,30,"1,013",997,"1,000","1,022"
SE17,One Bedroom,140,"1,247","1,185","1,273","1,333"
SE17,Two Bedrooms,140,"1,442","1,278","1,495","1,575"
SE17,Three Bedrooms,50,"1,783","1,550","1,840","2,102"
SE17,Four or More Bedrooms,30,"2,240","1,940","2,255","2,500"
SE18,Room,20,524,475,521,600
SE18,Studio,30,805,675,800,900
SE18,One Bedroom,110,"1,054",890,983,"1,248"
SE18,Two Bedrooms,170,"1,254","1,100","1,200","1,325"
SE18,Three Bedrooms,60,"1,428","1,300","1,400","1,500"
SE18,Four or More Bedrooms,20,"1,765","1,600","1,700","1,850"
SE19,Room,-,..,..,..,..
SE19,Studio,10,839,800,850,875
SE19,One Bedroom,60,"1,021",950,"1,000","1,100"
SE19,Two Bedrooms,80,"1,332","1,200","1,300","1,400"
SE19,Three Bedrooms,20,"1,642","1,442","1,625","1,750"
SE19,Four or More Bedrooms,10,"2,000","1,825","1,850","2,000"
SE1P,Room,0,.,.,.,.
SE1P,Studio,0,.,.,.,.
SE1P,One Bedroom,0,.,.,.,.
SE1P,Two Bedrooms,0,.,.,.,.
SE1P,Three Bedrooms,0,.,.,.,.
SE1P,Four or More Bedrooms,0,.,.,.,.
SE2,Room,-,..,..,..,..
SE2,Studio,-,..,..,..,..
SE2,One Bedroom,30,789,750,800,850
SE2,Two Bedrooms,30,"1,072","1,000","1,050","1,200"
SE2,Three Bedrooms,60,"1,285","1,150","1,300","1,350"
SE2,Four or More Bedrooms,10,"1,355","1,200","1,255","1,598"
SE20,Room,10,489,442,492,508
SE20,Studio,20,844,800,825,875
SE20,One Bedroom,80,947,875,949,"1,000"
SE20,Two Bedrooms,70,"1,234","1,150","1,200","1,350"
SE20,Three Bedrooms,20,"1,424","1,313","1,438","1,500"
SE20,Four or More Bedrooms,10,"1,980","1,750","2,100","2,150"
SE21,Room,-,..,..,..,..
SE21,Studio,10,845,750,750,950
SE21,One Bedroom,20,"1,183","1,050","1,213","1,300"
SE21,Two Bedrooms,100,"1,362","1,150","1,325","1,675"
SE21,Three Bedrooms,30,"1,990","1,750","1,900","2,400"
SE21,Four or More Bedrooms,20,"2,853","2,300","2,850","3,000"
SE22,Room,10,556,492,542,625
SE22,Studio,10,956,925,975,995
SE22,One Bedroom,100,"1,238","1,150","1,250","1,300"
SE22,Two Bedrooms,150,"1,569","1,400","1,550","1,700"
SE22,Three Bedrooms,50,"1,957","1,775","1,995","2,200"
SE22,Four or More Bedrooms,20,"2,965","2,588","2,800","3,050"
SE23,Room,10,552,492,509,600
SE23,Studio,30,766,700,800,800
SE23,One Bedroom,70,"1,057",995,"1,050","1,150"
SE23,Two Bedrooms,100,"1,339","1,250","1,300","1,400"
SE23,Three Bedrooms,30,"1,703","1,500","1,700","1,875"
SE23,Four or More Bedrooms,20,"2,345","2,000","2,250","2,800"
SE24,Room,0,.,.,.,.
SE24,Studio,10,809,695,850,"1,000"
SE24,One Bedroom,30,"1,246","1,150","1,250","1,350"
SE24,Two Bedrooms,60,"1,576","1,463","1,550","1,698"
SE24,Three Bedrooms,20,"2,219","1,950","2,300","2,500"
SE24,Four or More Bedrooms,10,"2,902","2,500","2,800","3,350"
SE25,Room,10,450,392,417,550
SE25,Studio,20,728,700,725,750
SE25,One Bedroom,80,904,850,900,925
SE25,Two Bedrooms,70,"1,176","1,100","1,175","1,250"
SE25,Three Bedrooms,20,"1,415","1,325","1,450","1,550"
SE25,Four or More Bedrooms,-,..,..,..,..
SE26,Room,10,456,392,492,500
SE26,Studio,10,866,775,815,950
SE26,One Bedroom,50,"1,039",925,"1,010","1,100"
SE26,Two Bedrooms,120,"1,242","1,175","1,250","1,350"
SE26,Three Bedrooms,30,"1,554","1,350","1,500","1,700"
SE26,Four or More Bedrooms,10,"2,125","2,100","2,200","2,300"
SE27,Room,-,..,..,..,..
SE27,Studio,20,664,575,650,773
SE27,One Bedroom,30,"1,080","1,000","1,075","1,200"
SE27,Two Bedrooms,30,"1,357","1,238","1,350","1,450"
SE27,Three Bedrooms,10,"1,798","1,600","1,750","2,000"
SE27,Four or More Bedrooms,10,"2,408","2,200","2,350","2,500"
SE28,Room,-,..,..,..,..
SE28,Studio,-,..,..,..,..
SE28,One Bedroom,10,885,830,850,"1,000"
SE28,Two Bedrooms,40,"1,155","1,100","1,150","1,200"
SE28,Three Bedrooms,20,"1,292","1,225","1,275","1,350"
SE28,Four or More Bedrooms,-,..,..,..,..
SE3,Room,10,580,570,570,570
SE3,Studio,10,945,867,953,"1,000"
SE3,One Bedroom,60,"1,238","1,150","1,225","1,300"
SE3,Two Bedrooms,90,"1,491","1,334","1,438","1,650"
SE3,Three Bedrooms,60,"1,808","1,563","1,675","2,050"
SE3,Four or More Bedrooms,10,"2,443","2,100","2,250","2,850"
SE4,Room,-,..,..,..,..
SE4,Studio,10,807,700,825,926
SE4,One Bedroom,60,"1,093","1,000","1,100","1,200"
SE4,Two Bedrooms,80,"1,347","1,250","1,375","1,450"
SE4,Three Bedrooms,30,"1,754","1,550","1,800","2,000"
SE4,Four or More Bedrooms,10,"2,243","1,850","2,275","2,500"
SE5,Room,10,525,442,552,575
SE5,Studio,-,..,..,..,..
SE5,One Bedroom,70,"1,260","1,150","1,250","1,350"
SE5,Two Bedrooms,90,"1,507","1,400","1,500","1,600"
SE5,Three Bedrooms,30,"1,980","1,800","2,000","2,150"
SE5,Four or More Bedrooms,10,"2,748","2,400","2,775","3,000"
SE6,Room,20,516,442,500,598
SE6,Studio,20,712,650,720,818
SE6,One Bedroom,70,984,900,950,"1,050"
SE6,Two Bedrooms,110,"1,225","1,150","1,213","1,300"
SE6,Three Bedrooms,50,"1,501","1,400","1,500","1,600"
SE6,Four or More Bedrooms,20,"1,934","1,700","1,850","2,100"
SE7,Room,10,622,542,621,700
SE7,Studio,0,.,.,.,.
SE7,One Bedroom,10,"1,028",900,995,"1,100"
SE7,Two Bedrooms,20,"1,275","1,250","1,295","1,350"
SE7,Three Bedrooms,20,"1,612","1,495","1,600","1,750"
SE7,Four or More Bedrooms,10,"2,083","1,800","1,900","2,400"
SE8,Room,20,569,517,517,692
SE8,Studio,20,961,900,925,"1,031"
SE8,One Bedroom,70,"1,193","1,100","1,200","1,300"
SE8,Two Bedrooms,80,"1,499","1,270","1,500","1,755"
SE8,Three Bedrooms,20,"1,872","1,700","1,868","2,200"
SE8,Four or More Bedrooms,10,"1,808","1,500","1,853","2,167"
SE9,Room,-,..,..,..,..
SE9,Studio,10,894,850,875,925
SE9,One Bedroom,50,988,900,950,"1,075"
SE9,Two Bedrooms,60,"1,210","1,100","1,200","1,300"
SE9,Three Bedrooms,60,"1,500","1,350","1,500","1,600"
SE9,Four or More Bedrooms,20,"1,724","1,450","1,650","1,950"
SE99,Room,0,.,.,.,.
SE99,Studio,0,.,.,.,.
SE99,One Bedroom,0,.,.,.,.
SE99,Two Bedrooms,0,.,.,.,.
SE99,Three Bedrooms,0,.,.,.,.
SE99,Four or More Bedrooms,0,.,.,.,.
SM1,Room,-,..,..,..,..
SM1,Studio,20,760,695,725,800
SM1,One Bedroom,80,934,850,925,975
SM1,Two Bedrooms,110,"1,161","1,100","1,150","1,200"
SM1,Three Bedrooms,40,"1,446","1,350","1,450","1,600"
SM1,Four or More Bedrooms,20,"1,809","1,700","1,750","1,995"
SM2,Room,0,.,.,.,.
SM2,Studio,20,770,725,775,800
SM2,One Bedroom,160,925,900,925,950
SM2,Two Bedrooms,150,"1,183","1,125","1,200","1,225"
SM2,Three Bedrooms,10,"1,547","1,400","1,625","1,650"
SM2,Four or More Bedrooms,10,"2,205","1,800","2,150","2,600"
SM3,Room,-,..,..,..,..
SM3,Studio,-,..,..,..,..
SM3,One Bedroom,10,906,825,850,"1,000"
SM3,Two Bedrooms,20,"1,173","1,100","1,187","1,250"
SM3,Three Bedrooms,20,"1,523","1,500","1,500","1,600"
SM3,Four or More Bedrooms,10,"1,786","1,650","1,800","1,850"
SM4,Room,10,553,450,550,650
SM4,Studio,-,..,..,..,..
SM4,One Bedroom,10,"1,013",938,"1,050","1,100"
SM4,Two Bedrooms,40,"1,262","1,200","1,250","1,350"
SM4,Three Bedrooms,20,"1,543","1,500","1,550","1,600"
SM4,Four or More Bedrooms,10,"1,713","1,600","1,750","1,850"
SM5,Room,-,..,..,..,..
SM5,Studio,0,.,.,.,.
SM5,One Bedroom,20,911,850,900,975
SM5,Two Bedrooms,30,"1,176","1,100","1,195","1,250"
SM5,Three Bedrooms,10,"1,479","1,385","1,450","1,550"
SM5,Four or More Bedrooms,10,"1,700","1,575","1,700","1,800"
SM6,Room,-,..,..,..,..
SM6,Studio,10,684,597,650,750
SM6,One Bedroom,20,894,850,900,930
SM6,Two Bedrooms,50,"1,136","1,050","1,100","1,250"
SM6,Three Bedrooms,10,"1,476","1,425","1,475","1,531"
SM6,Four or More Bedrooms,10,"1,835","1,750","1,800","1,875"
SM7,Room,0,.,.,.,.
SM7,Studio,0,.,.,.,.
SM7,One Bedroom,0,.,.,.,.
SM7,Two Bedrooms,0,.,.,.,.
SM7,Three Bedrooms,0,.,.,.,.
SM7,Four or More Bedrooms,0,.,.,.,.
SW10,Room,0,.,.,.,.
SW10,Studio,10,"1,438","1,365","1,430","1,500"
SW10,One Bedroom,80,"1,901","1,647","1,733","2,145"
SW10,Two Bedrooms,80,"2,565","2,015","2,340","2,817"
SW10,Three Bedrooms,20,"4,325","3,142","3,683","5,633"
SW10,Four or More Bedrooms,10,"6,783","3,900","5,417","6,067"
SW11,Room,-,..,..,..,..
SW11,Studio,30,"1,244","1,148","1,200","1,408"
SW11,One Bedroom,270,"1,476","1,332","1,452","1,625"
SW11,Two Bedrooms,400,"1,968","1,712","1,900","2,145"
SW11,Three Bedrooms,140,"2,482","2,102","2,500","2,800"
SW11,Four or More Bedrooms,90,"3,799","3,150","3,690","4,250"
SW12,Room,0,.,.,.,.
SW12,Studio,10,"1,112","1,025","1,190","1,192"
SW12,One Bedroom,60,"1,428","1,300","1,408","1,517"
SW12,Two Bedrooms,130,"1,904","1,699","1,850","2,058"
SW12,Three Bedrooms,40,"2,403","2,100","2,475","2,600"
SW12,Four or More Bedrooms,30,"3,365","3,000","3,400","3,700"
SW13,Room,0,.,.,.,.
SW13,Studio,10,"1,146","1,055","1,103","1,232"
SW13,One Bedroom,80,"1,376","1,250","1,395","1,500"
SW13,Two Bedrooms,140,"1,851","1,500","1,750","2,000"
SW13,Three Bedrooms,80,"2,483","1,825","2,250","2,950"
SW13,Four or More Bedrooms,40,"4,592","2,995","3,875","5,600"
SW14,Room,0,.,.,.,.
SW14,Studio,10,"1,162",980,"1,013","1,400"
SW14,One Bedroom,90,"1,281","1,150","1,250","1,375"
SW14,Two Bedrooms,230,"1,642","1,400","1,600","1,775"
SW14,Three Bedrooms,110,"2,315","1,750","2,175","2,600"
SW14,Four or More Bedrooms,90,"3,696","2,850","3,375","4,250"
SW15,Room,-,..,..,..,..
SW15,Studio,30,"1,053",975,"1,050","1,150"
SW15,One Bedroom,180,"1,394","1,295","1,395","1,500"
SW15,Two Bedrooms,310,"1,742","1,500","1,700","1,900"
SW15,Three Bedrooms,90,"2,182","1,850","2,200","2,450"
SW15,Four or More Bedrooms,70,"3,391","2,200","3,075","4,100"
SW16,Room,10,579,521,567,628
SW16,Studio,20,798,725,800,852
SW16,One Bedroom,120,"1,096","1,050","1,050","1,195"
SW16,Two Bedrooms,110,"1,350","1,275","1,350","1,400"
SW16,Three Bedrooms,70,"1,605","1,500","1,600","1,700"
SW16,Four or More Bedrooms,50,"2,161","1,750","2,100","2,500"
SW17,Room,40,614,579,642,671
SW17,Studio,60,967,926,975,"1,024"
SW17,One Bedroom,150,"1,291","1,192","1,295","1,400"
SW17,Two Bedrooms,210,"1,528","1,400","1,500","1,615"
SW17,Three Bedrooms,110,"1,986","1,750","1,900","2,200"
SW17,Four or More Bedrooms,90,"2,601","2,427","2,600","2,800"
SW18,Room,0,.,.,.,.
SW18,Studio,-,..,..,..,..
SW18,One Bedroom,120,"1,418","1,275","1,400","1,500"
SW18,Two Bedrooms,240,"1,695","1,500","1,650","1,800"
SW18,Three Bedrooms,80,"2,295","1,972","2,200","2,500"
SW18,Four or More Bedrooms,50,"3,136","2,650","3,000","3,400"
SW19,Room,30,668,550,692,750
SW19,Studio,30,977,900,980,"1,025"
SW19,One Bedroom,280,"1,257","1,150","1,250","1,350"
SW19,Two Bedrooms,380,"1,577","1,395","1,500","1,700"
SW19,Three Bedrooms,100,"2,049","1,800","1,900","2,250"
SW19,Four or More Bedrooms,80,"2,832","2,300","2,750","3,000"
SW1A,Room,0,.,.,.,.
SW1A,Studio,0,.,.,.,.
SW1A,One Bedroom,-,..,..,..,..
SW1A,Two Bedrooms,-,..,..,..,..
SW1A,Three Bedrooms,-,..,..,..,..
SW1A,Four or More Bedrooms,0,.,.,.,.
SW1E,Room,0,.,.,.,.
SW1E,Studio,-,..,..,..,..
SW1E,One Bedroom,-,..,..,..,..
SW1E,Two Bedrooms,10,"4,639","4,257","4,550","4,766"
SW1E,Three Bedrooms,-,..,..,..,..
SW1E,Four or More Bedrooms,0,.,.,.,.
SW1H,Room,0,.,.,.,.
SW1H,Studio,0,.,.,.,.
SW1H,One Bedroom,-,..,..,..,..
SW1H,Two Bedrooms,-,..,..,..,..
SW1H,Three Bedrooms,-,..,..,..,..
SW1H,Four or More Bedrooms,0,.,.,.,.
SW1P,Room,0,.,.,.,.
SW1P,Studio,10,"1,401","1,235","1,343","1,625"
SW1P,One Bedroom,50,"2,002","1,798","1,863","2,145"
SW1P,Two Bedrooms,80,"2,595","2,145","2,383","2,968"
SW1P,Three Bedrooms,20,"3,766","3,142","3,684","4,279"
SW1P,Four or More Bedrooms,-,..,..,..,..
SW1V,Room,0,.,.,.,.
SW1V,Studio,20,"1,456","1,343","1,430","1,517"
SW1V,One Bedroom,100,"1,771","1,600","1,733","1,885"
SW1V,Two Bedrooms,90,"2,364","2,080","2,297","2,492"
SW1V,Three Bedrooms,20,"3,208","2,578","3,250","3,683"
SW1V,Four or More Bedrooms,10,"5,370","4,312","4,767","5,200"
SW1W,Room,0,.,.,.,.
SW1W,Studio,10,"1,692","1,495","1,755","1,838"
SW1W,One Bedroom,60,"2,137","1,842","2,188","2,383"
SW1W,Two Bedrooms,60,"3,488","2,817","3,200","3,794"
SW1W,Three Bedrooms,20,"7,067","3,467","5,200","10,812"
SW1W,Four or More Bedrooms,10,"9,799","6,067","10,833","13,000"
SW1X,Room,0,.,.,.,.
SW1X,Studio,-,..,..,..,..
SW1X,One Bedroom,30,"3,322","2,275","2,504","3,142"
SW1X,Two Bedrooms,50,"4,521","3,467","4,366","5,308"
SW1X,Three Bedrooms,20,"7,753","5,092","7,475","10,833"
SW1X,Four or More Bedrooms,20,"12,029","7,800","10,833","15,167"
SW1Y,Room,0,.,.,.,.
SW1Y,Studio,0,.,.,.,.
SW1Y,One Bedroom,-,..,..,..,..
SW1Y,Two Bedrooms,20,"7,105","5,200","6,717","7,583"
SW1Y,Three Bedrooms,-,..,..,..,..
SW1Y,Four or More Bedrooms,0,.,.,.,.
SW2,Room,-,..,..,..,..
SW2,Studio,10,844,700,793,975
SW2,One Bedroom,70,"1,257","1,175","1,250","1,347"
SW2,Two Bedrooms,90,"1,550","1,400","1,500","1,700"
SW2,Three Bedrooms,30,"2,148","1,800","2,100","2,500"
SW2,Four or More Bedrooms,20,"2,872","2,600","2,800","3,275"
SW20,Room,0,.,.,.,.
SW20,Studio,10,918,875,911,963
SW20,One Bedroom,70,"1,243","1,085","1,195","1,300"
SW20,Two Bedrooms,90,"1,433","1,300","1,400","1,550"
SW20,Three Bedrooms,40,"1,918","1,797","1,932","2,088"
SW20,Four or More Bedrooms,40,"2,939","2,195","2,700","3,200"
SW3,Room,0,.,.,.,.
SW3,Studio,100,"1,407","1,192","1,343","1,625"
SW3,One Bedroom,260,"2,035","1,712","1,950","2,275"
SW3,Two Bedrooms,230,"3,334","2,600","3,142","3,683"
SW3,Three Bedrooms,70,"5,060","3,900","4,712","6,067"
SW3,Four or More Bedrooms,40,"10,343","5,850","8,559","13,433"
SW4,Room,-,..,..,..,..
SW4,Studio,10,"1,148","1,100","1,125","1,235"
SW4,One Bedroom,90,"1,511","1,350","1,495","1,647"
SW4,Two Bedrooms,130,"1,874","1,650","1,800","2,050"
SW4,Three Bedrooms,40,"2,456","2,200","2,300","2,600"
SW4,Four or More Bedrooms,20,"3,796","3,000","3,467","4,333"
SW5,Room,0,.,.,.,.
SW5,Studio,20,"1,506","1,257","1,500","1,733"
SW5,One Bedroom,60,"1,946","1,647","1,900","2,058"
SW5,Two Bedrooms,100,"2,697","2,054","2,492","2,990"
SW5,Three Bedrooms,30,"3,797","3,207","3,445","4,312"
SW5,Four or More Bedrooms,10,"6,129","4,642","5,558","5,958"
SW6,Room,10,734,650,750,800
SW6,Studio,10,"1,132",950,"1,100","1,250"
SW6,One Bedroom,170,"1,471","1,200","1,430","1,650"
SW6,Two Bedrooms,140,"1,948","1,600","1,850","2,210"
SW6,Three Bedrooms,50,"2,848","2,232","2,752","3,048"
SW6,Four or More Bedrooms,50,"4,421","3,250","3,792","5,200"
SW7,Room,0,.,.,.,.
SW7,Studio,10,"1,464","1,400","1,434","1,647"
