Postcode District,Bedroom Category,Count of rents,Mean,Lower quartile,Median,Upper quartile
SW7,One Bedroom,90,"2,362","1,777","2,167","2,687"
SW7,Two Bedrooms,140,"3,610","2,578","3,012","3,878"
SW7,Three Bedrooms,60,"5,781","3,813","5,417","6,500"
SW7,Four or More Bedrooms,30,"9,859","5,633","7,367","12,350"
SW8,Room,0,.,.,.,.
SW8,Studio,-,..,..,..,..
SW8,One Bedroom,70,"1,515","1,323","1,473","1,582"
SW8,Two Bedrooms,100,"2,104","1,603","1,733","2,000"
SW8,Three Bedrooms,40,"3,074","1,972","2,275","2,600"
SW8,Four or More Bedrooms,10,"3,062","2,600","3,283","3,405"
SW9,Room,-,..,..,..,..
SW9,Studio,20,"1,067",925,"1,025","1,192"
SW9,One Bedroom,30,"1,423","1,330","1,450","1,525"
SW9,Two Bedrooms,40,"1,682","1,600","1,700","1,780"
SW9,Three Bedrooms,30,"2,288","1,950","2,284","2,470"
SW9,Four or More Bedrooms,10,"2,816","2,495","2,950","3,250"
SW95,Room,0,.,.,.,.
SW95,Studio,0,.,.,.,.
SW95,One Bedroom,0,.,.,.,.
SW95,Two Bedrooms,0,.,.,.,.
SW95,Three Bedrooms,0,.,.,.,.
SW95,Four or More Bedrooms,0,.,.,.,.
SW99,Room,0,.,.,.,.
SW99,Studio,0,.,.,.,.
SW99,One Bedroom,0,.,.,.,.
SW99,Two Bedrooms,0,.,.,.,.
SW99,Three Bedrooms,0,.,.,.,.
SW99,Four or More Bedrooms,0,.,.,.,.
TN14,Room,0,.,.,.,.
TN14,Studio,0,.,.,.,.
TN14,One Bedroom,0,.,.,.,.
TN14,Two Bedrooms,0,.,.,.,.
TN14,Three Bedrooms,0,.,.,.,.
TN14,Four or More Bedrooms,0,.,.,.,.
TN16,Room,0,.,.,.,.
TN16,Studio,0,.,.,.,.
TN16,One Bedroom,-,..,..,..,..
TN16,Two Bedrooms,10,"1,274","1,250","1,300","1,300"
TN16,Three Bedrooms,10,"1,492","1,400","1,500","1,600"
TN16,Four or More Bedrooms,-,..,..,..,..
TW1,Room,0,.,.,.,.
TW1,Studio,10,854,680,895,995
TW1,One Bedroom,60,"1,216","1,100","1,175","1,300"
TW1,Two Bedrooms,100,"1,728","1,350","1,575","1,860"
TW1,Three Bedrooms,30,"2,084","1,650","1,895","2,235"
TW1,Four or More Bedrooms,10,"4,614","2,995","4,225","6,000"
TW10,Room,-,..,..,..,..
TW10,Studio,-,..,..,..,..
TW10,One Bedroom,40,"1,293","1,150","1,275","1,400"
TW10,Two Bedrooms,100,"1,752","1,500","1,750","1,900"
TW10,Three Bedrooms,40,"2,411","1,725","2,225","2,900"
TW10,Four or More Bedrooms,30,"3,994","2,900","3,500","4,800"
TW11,Room,0,.,.,.,.
TW11,Studio,-,..,..,..,..
TW11,One Bedroom,60,"1,135","1,050","1,100","1,250"
TW11,Two Bedrooms,80,"1,440","1,295","1,435","1,600"
TW11,Three Bedrooms,20,"1,925","1,675","1,773","2,100"
TW11,Four or More Bedrooms,10,"3,157","2,600","2,950","3,450"
TW12,Room,0,.,.,.,.
TW12,Studio,-,..,..,..,..
TW12,One Bedroom,30,976,895,975,"1,050"
TW12,Two Bedrooms,40,"1,335","1,195","1,350","1,400"
TW12,Three Bedrooms,10,"1,680","1,495","1,695","1,900"
TW12,Four or More Bedrooms,-,..,..,..,..
TW13,Room,-,..,..,..,..
TW13,Studio,10,736,650,750,800
TW13,One Bedroom,50,935,875,970,"1,000"
TW13,Two Bedrooms,90,"1,189","1,100","1,200","1,250"
TW13,Three Bedrooms,50,"1,409","1,317","1,400","1,500"
TW13,Four or More Bedrooms,10,"1,524","1,500","1,550","1,550"
TW14,Room,-,..,..,..,..
TW14,Studio,10,785,750,750,750
TW14,One Bedroom,30,949,900,950,995
TW14,Two Bedrooms,40,"1,179","1,150","1,198","1,250"
TW14,Three Bedrooms,20,"1,423","1,390","1,400","1,500"
TW14,Four or More Bedrooms,-,..,..,..,..
TW15,Room,0,.,.,.,.
TW15,Studio,0,.,.,.,.
TW15,One Bedroom,0,.,.,.,.
TW15,Two Bedrooms,-,..,..,..,..
TW15,Three Bedrooms,0,.,.,.,.
TW15,Four or More Bedrooms,0,.,.,.,.
TW19,Room,0,.,.,.,.
TW19,Studio,0,.,.,.,.
TW19,One Bedroom,0,.,.,.,.
TW19,Two Bedrooms,0,.,.,.,.
TW19,Three Bedrooms,0,.,.,.,.
TW19,Four or More Bedrooms,0,.,.,.,.
TW2,Room,0,.,.,.,.
TW2,Studio,-,..,..,..,..
TW2,One Bedroom,30,"1,057",900,"1,050","1,150"
TW2,Two Bedrooms,50,"1,341","1,195","1,300","1,475"
TW2,Three Bedrooms,60,"1,830","1,568","1,695","1,873"
TW2,Four or More Bedrooms,20,"2,067","1,850","2,150","2,300"
TW3,Room,10,566,483,558,638
TW3,Studio,30,782,711,775,900
TW3,One Bedroom,70,"1,054",995,"1,050","1,100"
TW3,Two Bedrooms,100,"1,243","1,150","1,250","1,350"
TW3,Three Bedrooms,50,"1,556","1,450","1,550","1,650"
TW3,Four or More Bedrooms,10,"1,904","1,750","1,875","2,000"
TW4,Room,-,..,..,..,..
TW4,Studio,10,737,681,750,768
TW4,One Bedroom,30,972,875,950,"1,050"
TW4,Two Bedrooms,20,"1,240","1,175","1,250","1,313"
TW4,Three Bedrooms,30,"1,624","1,575","1,650","1,695"
TW4,Four or More Bedrooms,10,"1,880","1,750","1,850","2,000"
TW5,Room,-,..,..,..,..
TW5,Studio,20,778,700,751,875
TW5,One Bedroom,20,955,850,938,"1,000"
TW5,Two Bedrooms,40,"1,186","1,100","1,200","1,275"
TW5,Three Bedrooms,30,"1,592","1,475","1,600","1,650"
TW5,Four or More Bedrooms,10,"1,775","1,650","1,750","1,900"
TW6,Room,0,.,.,.,.
TW6,Studio,0,.,.,.,.
TW6,One Bedroom,0,.,.,.,.
TW6,Two Bedrooms,0,.,.,.,.
TW6,Three Bedrooms,0,.,.,.,.
TW6,Four or More Bedrooms,0,.,.,.,.
TW7,Room,10,575,500,600,642
TW7,Studio,10,772,721,800,850
TW7,One Bedroom,50,"1,107","1,000","1,125","1,150"
TW7,Two Bedrooms,80,"1,337","1,250","1,345","1,395"
TW7,Three Bedrooms,40,"1,586","1,430","1,585","1,695"
TW7,Four or More Bedrooms,30,"2,001","1,800","1,925","2,000"
TW8,Room,0,.,.,.,.
TW8,Studio,10,"1,019",875,"1,096","1,100"
TW8,One Bedroom,110,"1,335","1,200","1,350","1,450"
TW8,Two Bedrooms,160,"1,662","1,500","1,650","1,750"
TW8,Three Bedrooms,30,"2,128","1,700","2,000","2,200"
TW8,Four or More Bedrooms,10,"3,320","2,900","3,000","3,650"
TW9,Room,-,..,..,..,..
TW9,Studio,20,918,850,950,"1,000"
TW9,One Bedroom,90,"1,302","1,200","1,255","1,350"
TW9,Two Bedrooms,80,"1,634","1,450","1,588","1,788"
TW9,Three Bedrooms,20,"2,408","1,798","2,375","2,850"
TW9,Four or More Bedrooms,20,"4,701","2,700","3,750","4,500"
UB1,Room,10,831,600,780,"1,062"
UB1,Studio,10,730,675,745,775
UB1,One Bedroom,-,..,..,..,..
UB1,Two Bedrooms,30,"1,260","1,200","1,275","1,300"
UB1,Three Bedrooms,20,"1,538","1,500","1,550","1,650"
UB1,Four or More Bedrooms,10,"1,983","1,713","1,758","2,300"
UB10,Room,10,481,350,521,550
UB10,Studio,10,738,700,726,800
UB10,One Bedroom,40,"1,009",920,995,"1,100"
UB10,Two Bedrooms,60,"1,290","1,200","1,250","1,375"
UB10,Three Bedrooms,80,"1,320","1,200","1,295","1,450"
UB10,Four or More Bedrooms,30,"2,083","1,750","1,975","2,395"
UB11,Room,0,.,.,.,.
UB11,Studio,0,.,.,.,.
UB11,One Bedroom,0,.,.,.,.
UB11,Two Bedrooms,0,.,.,.,.
UB11,Three Bedrooms,0,.,.,.,.
UB11,Four or More Bedrooms,0,.,.,.,.
UB18,Room,0,.,.,.,.
UB18,Studio,0,.,.,.,.
UB18,One Bedroom,0,.,.,.,.
UB18,Two Bedrooms,0,.,.,.,.
UB18,Three Bedrooms,0,.,.,.,.
UB18,Four or More Bedrooms,0,.,.,.,.
UB2,Room,-,..,..,..,..
UB2,Studio,10,821,800,850,850
UB2,One Bedroom,20,972,898,950,"1,050"
UB2,Two Bedrooms,30,"1,261","1,200","1,300","1,325"
UB2,Three Bedrooms,20,"1,479","1,400","1,550","1,595"
UB2,Four or More Bedrooms,10,"1,658","1,650","1,673","1,725"
UB3,Room,10,944,592,642,"1,668"
UB3,Studio,60,809,700,790,950
UB3,One Bedroom,120,"1,050",900,"1,088","1,175"
UB3,Two Bedrooms,60,"1,251","1,198","1,250","1,350"
UB3,Three Bedrooms,50,"1,502","1,450","1,500","1,600"
UB3,Four or More Bedrooms,20,"1,880","1,700","1,750","1,900"
UB4,Room,0,.,.,.,.
UB4,Studio,10,718,650,700,787
UB4,One Bedroom,20,992,900,950,"1,050"
UB4,Two Bedrooms,50,"1,245","1,200","1,263","1,338"
UB4,Three Bedrooms,70,"1,244","1,050","1,175","1,450"
UB4,Four or More Bedrooms,10,"1,829","1,575","1,625","2,000"
UB5,Room,0,.,.,.,.
UB5,Studio,-,..,..,..,..
UB5,One Bedroom,30,926,875,905,950
UB5,Two Bedrooms,50,"1,229","1,175","1,200","1,300"
UB5,Three Bedrooms,30,"1,515","1,500","1,525","1,600"
UB5,Four or More Bedrooms,10,"2,166","1,800","2,050","2,400"
UB6,Room,-,..,..,..,..
UB6,Studio,-,..,..,..,..
UB6,One Bedroom,20,"1,109","1,000","1,063","1,150"
UB6,Two Bedrooms,30,"1,304","1,200","1,288","1,325"
UB6,Three Bedrooms,30,"1,642","1,600","1,650","1,700"
UB6,Four or More Bedrooms,10,"1,987","1,750","1,900","2,150"
UB7,Room,10,556,442,542,592
UB7,Studio,20,704,675,695,700
UB7,One Bedroom,60,"1,004",900,"1,030","1,100"
UB7,Two Bedrooms,70,"1,218","1,100","1,208","1,350"
UB7,Three Bedrooms,40,"1,431","1,300","1,400","1,500"
UB7,Four or More Bedrooms,10,"1,899","1,600","1,850","2,198"
UB8,Room,20,639,442,546,630
UB8,Studio,20,707,675,695,738
UB8,One Bedroom,70,981,900,950,"1,050"
UB8,Two Bedrooms,70,"1,233","1,150","1,220","1,300"
UB8,Three Bedrooms,30,"1,473","1,350","1,475","1,600"
UB8,Four or More Bedrooms,50,"2,097","1,800","2,000","2,350"
UB9,Room,0,.,.,.,.
UB9,Studio,0,.,.,.,.
UB9,One Bedroom,-,..,..,..,..
UB9,Two Bedrooms,10,"1,429","1,080","1,200","1,450"
UB9,Three Bedrooms,-,..,..,..,..
UB9,Four or More Bedrooms,0,.,.,.,.
W1,Room,0,.,.,.,.
W1,Studio,0,.,.,.,.
W1,One Bedroom,0,.,.,.,.
W1,Two Bedrooms,0,.,.,.,.
W1,Three Bedrooms,0,.,.,.,.
W1,Four or More Bedrooms,0,.,.,.,.
W10,Room,0,.,.,.,.
W10,Studio,10,"1,175","1,074","1,083","1,408"
W10,One Bedroom,40,"1,728","1,365","1,499","1,798"
W10,Two Bedrooms,30,"1,873","1,636","1,831","2,148"
W10,Three Bedrooms,20,"3,101","2,145","2,492","2,900"
W10,Four or More Bedrooms,10,"4,318","2,535","3,120","6,500"
W11,Room,0,.,.,.,.
W11,Studio,10,"1,484","1,343","1,480","1,603"
W11,One Bedroom,60,"2,020","1,560","1,842","2,145"
W11,Two Bedrooms,80,"2,612","2,123","2,448","2,977"
W11,Three Bedrooms,20,"4,184","2,275","3,033","5,200"
W11,Four or More Bedrooms,-,..,..,..,..
W12,Room,0,.,.,.,.
W12,Studio,-,..,..,..,..
W12,One Bedroom,80,"1,293","1,218","1,298","1,350"
W12,Two Bedrooms,60,"1,688","1,375","1,495","1,777"
W12,Three Bedrooms,10,"2,247","1,900","2,058","2,700"
W12,Four or More Bedrooms,10,"2,942","2,340","2,650","2,850"
W13,Room,10,809,692,758,910
W13,Studio,40,916,875,900,950
W13,One Bedroom,160,"1,236","1,175","1,250","1,295"
W13,Two Bedrooms,190,"1,395","1,325","1,420","1,495"
W13,Three Bedrooms,30,"1,966","1,895","1,995","2,000"
W13,Four or More Bedrooms,20,"2,512","2,000","2,400","2,994"
W14,Room,0,.,.,.,.
W14,Studio,30,"1,153",931,"1,148","1,300"
W14,One Bedroom,100,"1,488","1,365","1,495","1,560"
W14,Two Bedrooms,80,"2,085","1,683","1,820","2,123"
W14,Three Bedrooms,30,"2,754","2,171","2,297","2,681"
W14,Four or More Bedrooms,20,"5,295","2,500","2,952","5,850"
W1A,Room,0,.,.,.,.
W1A,Studio,0,.,.,.,.
W1A,One Bedroom,0,.,.,.,.
W1A,Two Bedrooms,0,.,.,.,.
W1A,Three Bedrooms,0,.,.,.,.
W1A,Four or More Bedrooms,0,.,.,.,.
W1B,Room,0,.,.,.,.
W1B,Studio,0,.,.,.,.
W1B,One Bedroom,-,..,..,..,..
W1B,Two Bedrooms,0,.,.,.,.
W1B,Three Bedrooms,-,..,..,..,..
W1B,Four or More Bedrooms,0,.,.,.,.
W1C,Room,0,.,.,.,.
W1C,Studio,0,.,.,.,.
W1C,One Bedroom,0,.,.,.,.
W1C,Two Bedrooms,0,.,.,.,.
W1C,Three Bedrooms,0,.,.,.,.
W1C,Four or More Bedrooms,0,.,.,.,.
W1D,Room,0,.,.,.,.
W1D,Studio,-,..,..,..,..
W1D,One Bedroom,10,"2,753","2,102","2,947","3,163"
W1D,Two Bedrooms,10,"6,005","4,658","4,875","6,717"
W1D,Three Bedrooms,-,..,..,..,..
W1D,Four or More Bedrooms,0,.,.,.,.
W1F,Room,0,.,.,.,.
W1F,Studio,0,.,.,.,.
W1F,One Bedroom,-,..,..,..,..
W1F,Two Bedrooms,0,.,.,.,.
W1F,Three Bedrooms,0,.,.,.,.
W1F,Four or More Bedrooms,0,.,.,.,.
W1G,Room,0,.,.,.,.
W1G,Studio,0,.,.,.,.
W1G,One Bedroom,10,"2,483","2,080","2,429","2,990"
W1G,Two Bedrooms,-,..,..,..,..
W1G,Three Bedrooms,-,..,..,..,..
W1G,Four or More Bedrooms,0,.,.,.,.
W1H,Room,10,836,845,845,888
W1H,Studio,30,"1,543","1,404","1,506","1,695"
W1H,One Bedroom,100,"2,309","1,842","2,297","2,600"
W1H,Two Bedrooms,110,"3,454","2,817","3,235","3,965"
W1H,Three Bedrooms,30,"4,158","3,448","4,117","4,487"
W1H,Four or More Bedrooms,-,..,..,..,..
W1J,Room,0,.,.,.,.
W1J,Studio,-,..,..,..,..
W1J,One Bedroom,30,"3,018","2,860","2,903","3,207"
W1J,Two Bedrooms,10,"3,908","3,683","4,160","4,203"
W1J,Three Bedrooms,-,..,..,..,..
W1J,Four or More Bedrooms,0,.,.,.,.
W1K,Room,0,.,.,.,.
W1K,Studio,-,..,..,..,..
W1K,One Bedroom,20,"3,919","2,513","2,817","3,683"
W1K,Two Bedrooms,30,"5,723","2,990","4,117","7,800"
W1K,Three Bedrooms,20,"13,700","10,400","15,167","16,250"
W1K,Four or More Bedrooms,10,"20,518","15,925","23,833","26,000"
W1M,Room,0,.,.,.,.
W1M,Studio,0,.,.,.,.
W1M,One Bedroom,0,.,.,.,.
W1M,Two Bedrooms,0,.,.,.,.
W1M,Three Bedrooms,0,.,.,.,.
W1M,Four or More Bedrooms,0,.,.,.,.
W1N,Room,0,.,.,.,.
W1N,Studio,0,.,.,.,.
W1N,One Bedroom,0,.,.,.,.
W1N,Two Bedrooms,0,.,.,.,.
W1N,Three Bedrooms,0,.,.,.,.
W1N,Four or More Bedrooms,0,.,.,.,.
W1P,Room,0,.,.,.,.
W1P,Studio,0,.,.,.,.
W1P,One Bedroom,0,.,.,.,.
W1P,Two Bedrooms,0,.,.,.,.
W1P,Three Bedrooms,0,.,.,.,.
W1P,Four or More Bedrooms,0,.,.,.,.
W1R,Room,0,.,.,.,.
W1R,Studio,0,.,.,.,.
W1R,One Bedroom,0,.,.,.,.
W1R,Two Bedrooms,0,.,.,.,.
W1R,Three Bedrooms,0,.,.,.,.
W1R,Four or More Bedrooms,0,.,.,.,.
W1S,Room,0,.,.,.,.
W1S,Studio,0,.,.,.,.
W1S,One Bedroom,-,..,..,..,..
W1S,Two Bedrooms,-,..,..,..,..
W1S,Three Bedrooms,0,.,.,.,.
W1S,Four or More Bedrooms,0,.,.,.,.
W1T,Room,0,.,.,.,.
W1T,Studio,-,..,..,..,..
W1T,One Bedroom,10,"1,871","1,668","1,679","1,850"
W1T,Two Bedrooms,10,"2,773","2,275","2,524","3,142"
W1T,Three Bedrooms,-,..,..,..,..
W1T,Four or More Bedrooms,-,..,..,..,..
W1U,Room,-,..,..,..,..
W1U,Studio,20,"1,780","1,647","1,777","1,863"
W1U,One Bedroom,80,"2,509","2,275","2,481","2,681"
W1U,Two Bedrooms,80,"3,312","2,665","3,033","3,618"
W1U,Three Bedrooms,30,"4,869","4,008","4,333","5,178"
W1U,Four or More Bedrooms,10,"6,821","4,247","4,312","6,390"
W1V,Room,0,.,.,.,.
W1V,Studio,0,.,.,.,.
W1V,One Bedroom,0,.,.,.,.
W1V,Two Bedrooms,0,.,.,.,.
W1V,Three Bedrooms,0,.,.,.,.
W1V,Four or More Bedrooms,0,.,.,.,.
W1W,Room,0,.,.,.,.
W1W,Studio,-,..,..,..,..
W1W,One Bedroom,10,"3,110","2,550","3,467","3,673"
W1W,Two Bedrooms,20,"3,839","3,293","4,117","4,312"
W1W,Three Bedrooms,10,"6,362","4,113","7,041","8,667"
W1W,Four or More Bedrooms,-,..,..,..,..
W1X,Room,0,.,.,.,.
W1X,Studio,0,.,.,.,.
W1X,One Bedroom,0,.,.,.,.
W1X,Two Bedrooms,0,.,.,.,.
W1X,Three Bedrooms,0,.,.,.,.
W1X,Four or More Bedrooms,0,.,.,.,.
W1Y,Room,0,.,.,.,.
W1Y,Studio,0,.,.,.,.
W1Y,One Bedroom,0,.,.,.,.
W1Y,Two Bedrooms,0,.,.,.,.
W1Y,Three Bedrooms,0,.,.,.,.
W1Y,Four or More Bedrooms,0,.,.,.,.
W2,Room,40,847,700,808,960
W2,Studio,80,"1,160",997,"1,148","1,300"
W2,One Bedroom,180,"2,047","1,560","1,900","2,383"
W2,Two Bedrooms,200,"2,783","2,134","2,708","3,250"
W2,Three Bedrooms,90,"4,463","3,467","4,117","5,460"
W2,Four or More Bedrooms,20,"5,415","3,250","4,724","8,212"
W3,Room,-,..,..,..,..
W3,Studio,10,981,900,900,"1,125"
W3,One Bedroom,30,"1,287","1,200","1,300","1,350"
W3,Two Bedrooms,50,"1,590","1,410","1,600","1,750"
W3,Three Bedrooms,20,"2,237","1,850","2,173","2,600"
W3,Four or More Bedrooms,20,"2,474","2,150","2,310","2,600"
W4,Room,10,973,585,709,"1,062"
W4,Studio,10,944,910,950,"1,010"
W4,One Bedroom,90,"1,418","1,274","1,387","1,499"
W4,Two Bedrooms,140,"1,726","1,542","1,655","1,813"
W4,Three Bedrooms,50,"2,321","1,830","1,993","2,574"
W4,Four or More Bedrooms,40,"4,447","3,100","4,038","6,000"
W5,Room,10,638,550,658,700
W5,Studio,70,931,856,943,975
W5,One Bedroom,230,"1,264","1,150","1,225","1,350"
W5,Two Bedrooms,310,"1,580","1,400","1,500","1,700"
W5,Three Bedrooms,100,"2,050","1,700","1,950","2,200"
W5,Four or More Bedrooms,70,"2,789","2,200","2,500","2,997"
W6,Room,0,.,.,.,.
W6,Studio,20,"1,070",950,"1,027","1,148"
W6,One Bedroom,60,"1,570","1,250","1,450","1,582"
W6,Two Bedrooms,70,"2,618","1,723","2,183","3,402"
W6,Three Bedrooms,40,"3,357","2,415","2,925","3,813"
W6,Four or More Bedrooms,10,"3,670","3,330","3,716","3,878"
W7,Room,-,..,..,..,..
W7,Studio,10,790,731,800,850
W7,One Bedroom,30,"1,136","1,050","1,150","1,200"
W7,Two Bedrooms,40,"1,361","1,300","1,350","1,450"
W7,Three Bedrooms,10,"1,635","1,450","1,638","1,750"
W7,Four or More Bedrooms,10,"2,106","1,800","2,150","2,200"
W8,Room,0,.,.,.,.
W8,Studio,30,"1,308","1,101","1,257","1,430"
W8,One Bedroom,130,"2,258","1,757","2,058","2,383"
W8,Two Bedrooms,210,"3,662","2,492","3,163","3,770"
W8,Three Bedrooms,50,"5,683","3,467","4,767","7,150"
W8,Four or More Bedrooms,30,"10,090","6,834","9,037","13,108"
W9,Room,-,..,..,..,..
W9,Studio,30,"1,158",997,"1,224","1,300"
W9,One Bedroom,150,"1,625","1,408","1,560","1,777"
W9,Two Bedrooms,200,"2,055","1,712","1,928","2,375"
W9,Three Bedrooms,100,"2,876","2,383","2,578","3,012"
W9,Four or More Bedrooms,20,"4,744","2,839","3,023","4,767"
WC1A,Room,0,.,.,.,.
WC1A,Studio,-,..,..,..,..
WC1A,One Bedroom,10,"2,128","2,080","2,145","2,400"
WC1A,Two Bedrooms,10,"2,621","2,555","2,795","2,817"
WC1A,Three Bedrooms,-,..,..,..,..
WC1A,Four or More Bedrooms,0,.,.,.,.
WC1B,Room,0,.,.,.,.
WC1B,Studio,0,.,.,.,.
WC1B,One Bedroom,20,"2,120","1,993","2,100","2,275"
WC1B,Two Bedrooms,10,"2,716","2,372","2,871","2,990"
WC1B,Three Bedrooms,10,"3,964","3,683","4,225","4,312"
WC1B,Four or More Bedrooms,0,.,.,.,.
WC1E,Room,20,985,817,"1,012","1,164"
WC1E,Studio,10,"1,439","1,391","1,456","1,478"
WC1E,One Bedroom,30,"2,061","1,907","2,033","2,145"
WC1E,Two Bedrooms,60,"2,557","2,286","2,498","2,903"
WC1E,Three Bedrooms,10,"3,909","3,640","3,841","4,117"
WC1E,Four or More Bedrooms,0,.,.,.,.
WC1H,Room,0,.,.,.,.
WC1H,Studio,10,"1,418","1,278","1,395","1,560"
WC1H,One Bedroom,-,..,..,..,..
WC1H,Two Bedrooms,10,"2,176","1,817","2,058","2,600"
WC1H,Three Bedrooms,-,..,..,..,..
WC1H,Four or More Bedrooms,10,"3,250","3,142","3,250","3,467"
WC1N,Room,0,.,.,.,.
WC1N,Studio,10,"1,384","1,326","1,430","1,473"
WC1N,One Bedroom,-,..,..,..,..
WC1N,Two Bedrooms,-,..,..,..,..
WC1N,Three Bedrooms,-,..,..,..,..
WC1N,Four or More Bedrooms,-,..,..,..,..
WC1R,Room,0,.,.,.,.
WC1R,Studio,0,.,.,.,.
WC1R,One Bedroom,-,..,..,..,..
WC1R,Two Bedrooms,10,"2,134","1,798","2,000","2,578"
WC1R,Three Bedrooms,0,.,.,.,.
WC1R,Four or More Bedrooms,0,.,.,.,.
WC1V,Room,0,.,.,.,.
WC1V,Studio,0,.,.,.,.
WC1V,One Bedroom,-,..,..,..,..
WC1V,Two Bedrooms,0,.,.,.,.
WC1V,Three Bedrooms,0,.,.,.,.
WC1V,Four or More Bedrooms,0,.,.,.,.
WC1X,Room,0,.,.,.,.
WC1X,Studio,-,..,..,..,..
WC1X,One Bedroom,20,"1,580","1,473","1,560","1,712"
WC1X,Two Bedrooms,20,"2,408","1,950","2,318","2,600"
WC1X,Three Bedrooms,-,..,..,..,..
WC1X,Four or More Bedrooms,10,"3,623","3,380","3,553","3,618"
WC2A,Room,0,.,.,.,.
WC2A,Studio,0,.,.,.,.
WC2A,One Bedroom,-,..,..,..,..
WC2A,Two Bedrooms,-,..,..,..,..
WC2A,Three Bedrooms,0,.,.,.,.
WC2A,Four or More Bedrooms,0,.,.,.,.
WC2B,Room,0,.,.,.,.
WC2B,Studio,-,..,..,..,..
WC2B,One Bedroom,0,.,.,.,.
WC2B,Two Bedrooms,-,..,..,..,..
WC2B,Three Bedrooms,0,.,.,.,.
WC2B,Four or More Bedrooms,0,.,.,.,.
WC2E,Room,0,.,.,.,.
WC2E,Studio,0,.,.,.,.
WC2E,One Bedroom,0,.,.,.,.
WC2E,Two Bedrooms,0,.,.,.,.
WC2E,Three Bedrooms,0,.,.,.,.
WC2E,Four or More Bedrooms,0,.,.,.,.
WC2H,Room,0,.,.,.,.
WC2H,Studio,-,..,..,..,..
WC2H,One Bedroom,-,..,..,..,..
WC2H,Two Bedrooms,-,..,..,..,..
WC2H,Three Bedrooms,0,.,.,.,.
WC2H,Four or More Bedrooms,0,.,.,.,.
WC2N,Room,0,.,.,.,.
WC2N,Studio,0,.,.,.,.
WC2N,One Bedroom,0,.,.,.,.
WC2N,Two Bedrooms,-,..,..,..,..
WC2N,Three Bedrooms,0,.,.,.,.
WC2N,Four or More Bedrooms,0,.,.,.,.
WC2R,Room,0,.,.,.,.
WC2R,Studio,0,.,.,.,.
WC2R,One Bedroom,-,..,..,..,..
WC2R,Two Bedrooms,-,..,..,..,..
WC2R,Three Bedrooms,0,.,.,.,.
WC2R,Four or More Bedrooms,0,.,.,.,.
WC99,Room,0,.,.,.,.
WC99,Studio,0,.,.,.,.
WC99,One Bedroom,0,.,.,.,.
WC99,Two Bedrooms,0,.,.,.,.
WC99,Three Bedrooms,0,.,.,.,.
WC99,Four or More Bedrooms,0,.,.,.,.
WD2,Room,0,.,.,.,.
WD2,Studio,0,.,.,.,.
WD2,One Bedroom,0,.,.,.,.
WD2,Two Bedrooms,0,.,.,.,.
WD2,Three Bedrooms,0,.,.,.,.
WD2,Four or More Bedrooms,0,.,.,.,.
WD23,Room,0,.,.,.,.
WD23,Studio,0,.,.,.,.
WD23,One Bedroom,0,.,.,.,.
WD23,Two Bedrooms,0,.,.,.,.
WD23,Three Bedrooms,0,.,.,.,.
WD23,Four or More Bedrooms,0,.,.,.,.
WD3,Room,0,.,.,.,.
WD3,Studio,0,.,.,.,.
WD3,One Bedroom,0,.,.,.,.
WD3,Two Bedrooms,-,..,..,..,..
WD3,Three Bedrooms,0,.,.,.,.
WD3,Four or More Bedrooms,0,.,.,.,.
WD6,Room,0,.,.,.,.
WD6,Studio,0,.,.,.,.
WD6,One Bedroom,0,.,.,.,.
WD6,Two Bedrooms,0,.,.,.,.
WD6,Three Bedrooms,0,.,.,.,.
WD6,Four or More Bedrooms,0,.,.,.,.